bhk,type,area,price,status,age,latitude,longitude
2,0.2,1060,0.5618,1,1.0,18.96904755,72.82118225
2,0.2,1060,0.5618,1,1.0,18.96904755,72.82118225
1,0.2,795,0.4213,1,1.0,18.96904755,72.82118225
1,0.2,795,0.4213,1,1.0,18.96904755,72.82118225
1,0.2,384,0.9101,0,1.0,19.2154693,72.8537927
1,0.2,384,0.9101,0,1.0,19.2154693,72.8537927
2,0.2,558,1.32,0,1.0,19.2154693,72.8537927
2,0.2,558,1.32,0,1.0,19.2154693,72.8537927
2,0.2,557,1.32,0,1.0,19.2154693,72.8537927
2,0.2,557,1.32,0,1.0,19.2154693,72.8537927
2,0.2,618,1.46,0,1.0,19.2154693,72.8537927
2,0.2,618,1.46,0,1.0,19.2154693,72.8537927
1,0.2,501,0.295,1,1.0,18.96904755,72.82118225
1,0.2,399,0.245,1,1.0,18.96904755,72.82118225
1,0.2,440,0.265,1,1.0,18.96904755,72.82118225
2,0.2,635,0.365,1,1.0,18.96904755,72.82118225
2,0.2,569,0.33,1,1.0,18.96904755,72.82118225
1,0.2,464,0.275,1,1.0,18.96904755,72.82118225
1,0.2,422,0.26,1,1.0,18.96904755,72.82118225
2,0.2,937,1.35,0,1.0,18.96904755,72.82118225
2,0.2,945,1.44,0,1.0,18.96904755,72.82118225
5,0.2,2135,3.14,0,1.0,18.96904755,72.82118225
3,0.2,1198,1.79,0,1.0,18.96904755,72.82118225
6,0.2,2396,3.59,0,1.0,18.96904755,72.82118225
3,0.2,1698,2.48,0,1.0,18.96904755,72.82118225
3,0.2,895,1.42,0,1.0,18.96904755,72.82118225
2,0.2,601,0.9792000000000001,0,1.0,18.96904755,72.82118225
2,0.2,679,1.24,0,1.0,19.1899526,72.9436475
3,0.2,887,1.87,0,1.0,19.1899526,72.9436475
2,0.2,692,0.53,0,1.0,19.4137321,72.8157423
1,0.2,487,0.3699,0,1.0,19.4137321,72.8157423
1,0.2,515,0.75,0,1.0,19.0249958,73.09351349
1,0.2,427,1.02,0,1.0,19.1112464,72.8782931
1,0.2,380,0.912,0,1.0,19.1112464,72.8782931
2,0.2,517,1.24,0,1.0,19.1112464,72.8782931
1,0.2,651,0.2,1,0.0,19.141545,72.812724
2,0.2,1000,0.32,1,0.0,18.96904755,72.82118225
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,651,0.2,1,0.0,19.141545,72.812724
2,0.2,950,0.8,0,0.0,18.97606277,73.05229187
2,0.2,950,0.55,0,0.0,18.96904755,72.82118225
1,0.2,650,0.2,1,0.0,19.141545,72.812724
4,0.2,2100,3.25,1,0.0,19.0791283,72.8668518
1,0.2,720,0.47,0,0.0,17.49482177,78.39946143
3,0.2,1530,2.85,1,0.0,19.234472,72.865801
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,650,0.2,1,0.0,19.141545,72.812724
1,0.2,560,0.25,1,0.0,19.420713,72.8230737
1,0.2,651,0.2,1,0.0,19.141545,72.812724
1,0.2,400,0.7979999999999999,0,0.0,19.061558,72.847533
1,0.2,530,0.2279,1,0.0,19.1629761,72.8326318
2,0.2,920,0.65,0,0.0,18.96904755,72.82118225
1,0.2,550,0.25,1,0.0,19.06469154,73.12929535
1,0.2,650,0.2,0,0.0,19.12906331,72.82262211
1,0.2,651,0.2,1,0.0,19.141545,72.812724
4,0.2,1500,5.6,1,0.0,19.2059803,72.86605835
1,0.2,650,0.2,1,0.0,19.141545,72.812724
1,0.2,520,0.25,1,0.0,19.420713,72.8230737
